#type  algo  firstChoice  nbRobots  time  resType
0 5 0 10 396 0
0 5 0 10 331 1
0 5 0 10 427 2
0 5 0 20 339 0
0 5 0 20 265 1
0 5 0 20 376 2
0 5 0 40 349 0
0 5 0 40 312 1
0 5 0 40 405 2
0 5 0 80 330 0
0 5 0 80 302 1
0 5 0 80 342 2
0 5 0 100 321 0
0 5 0 100 294 1
0 5 0 100 339 2
0 5 0 160 331 0
0 5 0 160 271 1
0 5 0 160 367 2
0 5 0 200 328 0
0 5 0 200 263 1
0 5 0 200 356 2
0 5 0 300 307 0
0 5 0 300 247 1
0 5 0 300 382 2
0 5 0 320 353 0
0 5 0 320 322 1
0 5 0 320 392 2
0 5 0 400 302 0
0 5 0 400 227 1
0 5 0 400 367 2
0 5 0 500 320 0
0 5 0 500 306 1
0 5 0 500 344 2
0 5 0 600 299 0
0 5 0 600 271 1
0 5 0 600 334 2
0 5 0 700 293 0
0 5 0 700 218 1
0 5 0 700 355 2
0 5 0 800 333 0
0 5 0 800 274 1
0 5 0 800 374 2
