#type  algo  firstChoice  nbRobots  time  resType
0 5 0 5 340 0
0 5 0 5 299 1
0 5 0 5 364 2
0 5 0 10 326 0
0 5 0 10 244 1
0 5 0 10 370 2
0 5 0 15 340 0
0 5 0 15 321 1
0 5 0 15 374 2
0 5 0 20 343 0
0 5 0 20 274 1
0 5 0 20 400 2
0 5 0 25 316 0
0 5 0 25 268 1
0 5 0 25 341 2
0 5 0 30 346 0
0 5 0 30 329 1
0 5 0 30 361 2
0 5 0 35 346 0
0 5 0 35 318 1
0 5 0 35 368 2
0 5 0 40 351 0
0 5 0 40 334 1
0 5 0 40 399 2
0 5 0 45 327 0
0 5 0 45 278 1
0 5 0 45 372 2
0 5 0 50 323 0
0 5 0 50 273 1
0 5 0 50 381 2
0 5 0 55 320 0
0 5 0 55 283 1
0 5 0 55 362 2
0 5 0 60 333 0
0 5 0 60 289 1
0 5 0 60 365 2
0 5 0 65 318 0
0 5 0 65 262 1
0 5 0 65 371 2
0 5 0 70 301 0
0 5 0 70 252 1
0 5 0 70 343 2
0 5 0 75 313 0
0 5 0 75 273 1
0 5 0 75 375 2
0 5 0 80 335 0
0 5 0 80 238 1
0 5 0 80 418 2
0 5 0 85 326 0
0 5 0 85 249 1
0 5 0 85 422 2
0 5 0 90 317 0
0 5 0 90 265 1
0 5 0 90 355 2
0 5 0 100 326 0
0 5 0 100 298 1
0 5 0 100 358 2
0 5 0 160 292 0
0 5 0 160 270 1
0 5 0 160 329 2
0 5 0 200 341 0
0 5 0 200 300 1
0 5 0 200 364 2
0 5 0 300 344 0
0 5 0 300 325 1
0 5 0 300 367 2
0 5 0 320 341 0
0 5 0 320 300 1
0 5 0 320 383 2
0 5 0 400 333 0
0 5 0 400 302 1
0 5 0 400 363 2
0 5 0 500 301 0
0 5 0 500 238 1
0 5 0 500 357 2
0 5 0 600 332 0
0 5 0 600 299 1
0 5 0 600 387 2
0 5 0 700 321 0
0 5 0 700 267 1
0 5 0 700 353 2
0 5 0 800 326 0
0 5 0 800 310 1
0 5 0 800 353 2
